	MOVIES	YEAR	GENRE	RATING	STARS	VOTES	RunTime
80	Gilmore Girls	(2000–2007)	Comedy, Drama	8.1	Stars: Lauren Graham,  Alexis Bledel,  Keiko Agena,  Scott Patterson	106650.0	44.0
81	Sky Rojo	(2021– )	Action, Adventure, Crime	6.5	Stars: Verónica Sánchez,  Miguel Ángel Silvestre,  Asier Etxeandia,  Lali Espósito	6940.0	31.0
82	Lupin	(2021– )	Action, Crime, Drama	7.5	Stars: Omar Sy,  Ludivine Sagnier,  Hervé Pierre,  Soufiane Guerrab	84428.0	45.0
83	Trollhunters: Rise of the Titans	(2021)	Animation, Action, Adventure	6.9	Directors: Johane Matte,  Francisco Ruiz-Velasco,  Andrew L. Schmidt |      Stars: Steve Alterman,  Kay Bess,  Brian Blessed,  Vic Chao	2353.0	104.0
84	Heartland	(II) (2007– )	Drama, Family	8.4	Stars: Amber Marshall,  Shaun Johnston,  Michelle Morgan,  Graham Wardle	11764.0	45.0
85	Jurassic Park	(1993)	Action, Adventure, Sci-Fi	8.1	Director: Steven Spielberg |      Stars: Sam Neill,  Laura Dern,  Jeff Goldblum,  Richard Attenborough	897444.0	127.0
86	Family Guy	(1999–2022)	Animation, Comedy	8.1	Stars: Seth MacFarlane,  Alex Borstein,  Seth Green,  Mila Kunis	312584.0	22.0
87	Daredevil	(2015–2018)	Action, Crime, Drama	8.6	Stars: Charlie Cox,  Vincent D'Onofrio,  Deborah Ann Woll,  Elden Henson	374963.0	54.0
88	Dark	(2017–2020)	Crime, Drama, Mystery	8.8	Stars: Louis Hofmann,  Karoline Eichhorn,  Lisa Vicari,  Maja Schöne	312629.0	60.0
89	Boku no hîrô akademia	(2016– )	Animation, Action, Adventure	8.4	Stars: Daiki Yamashita,  Nobuhiko Okamoto,  Ayane Sakura,  Justin Briner	44367.0	24.0
90	Cobra Kai	(2018– )	Action, Comedy, Drama	8.6	Stars: Courtney Henggeler,  Mary Mouser,  Tanner Buchanan,  Ralph Macchio	122268.0	30.0
91	 Kingdom	(2019– )	Action, Drama, History	7.1	Director: Seong-hun Kim |      Stars: Jun Ji-hyun,  Si-ah Kim,  Byeong-eun Park,  Kyo-hwan Koo	6388.0	92.0
92	Gotham	(2014–2019)	Action, Crime, Drama	7.8	Stars: Ben McKenzie,  Jada Pinkett Smith,  Donal Logue,  Camren Bicondova	216458.0	42.0
93	Billions	(2016– )	Drama	8.4	Stars: Paul Giamatti,  Damian Lewis,  Maggie Siff,  David Costabile	74094.0	60.0
94	Agents of S.H.I.E.L.D.	(2013–2020)	Action, Adventure, Drama	7.5	Stars: Clark Gregg,  Ming-Na Wen,  Brett Dalton,  Iain De Caestecker	205119.0	45.0
95	Don't Breathe	(2016)	Crime, Horror, Thriller	7.1	Director: Fede Alvarez |      Stars: Stephen Lang,  Jane Levy,  Dylan Minnette,  Daniel Zovatto	237601.0	88.0
96	The Ice Road	(2021)	Action, Adventure, Drama	5.6	Director: Jonathan Hensleigh |      Stars: Liam Neeson,  Marcus Thomas,  Laurence Fishburne,  Amber Midthunder	20561.0	109.0
97	Arrow	(2012–2020)	Action, Adventure, Crime	7.5	Stars: Stephen Amell,  Katie Cassidy,  David Ramsey,  Susanna Thompson	414712.0	42.0
98	Orange Is the New Black	(2013–2019)	Comedy, Crime, Drama	8.0	Stars: Taylor Schilling,  Danielle Brooks,  Taryn Manning,  Emma Myles	284554.0	59.0
99	Gossip Girl	(2007–2012)	Drama, Romance	7.4	Stars: Blake Lively,  Leighton Meester,  Penn Badgley,  Ed Westwick	159666.0	42.0
100	Bridgerton	(2020– )	Drama, Romance	7.3	Stars: Phoebe Dynevor,  Regé-Jean Page,  Nicola Coughlan,  Jonathan Bailey	83944.0	60.0
101	The Kominsky Method	(2018–2021)	Comedy, Drama	8.2	Stars: Michael Douglas,  Sarah Baker,  Graham Rogers,  Melissa Tang	33440.0	30.0
102	Homeland	(2011–2020)	Crime, Drama, Mystery	8.3	Stars: Claire Danes,  Mandy Patinkin,  Damian Lewis,  Rupert Friend	322307.0	55.0
103	Riverdale	(2017– )	Crime, Drama, Mystery	6.8	Stars: K.J. Apa,  Lili Reinhart,  Camila Mendes,  Cole Sprouse	126112.0	45.0
104	Sherlock	(2010–2017)	Crime, Drama, Mystery	9.1	Stars: Benedict Cumberbatch,  Martin Freeman,  Una Stubbs,  Rupert Graves	839029.0	88.0
105	La cocinera de Castamar	(2021)	Drama	7.4	Stars: Michelle Jenner,  Roberto Enríquez,  Hugo Silva,  Maxi Iglesias	1336.0	79.83280507131538
106	Queen of the South	(2016–2021)	Action, Crime, Drama	8.0	Stars: Alice Braga,  Hemky Madera,  Peter Gadiot,  Veronica Falcón	23318.0	42.0
107	CSI: Crime Scene Investigation	(2000–2015)	Crime, Drama, Mystery	7.6	Stars: Laurence Fishburne,  Marg Helgenberger,  George Eads,  Eric Szmanda	78589.0	60.0
108	The Umbrella Academy	(2019– )	Action, Adventure, Comedy	8.0	Stars: Elliot Page,  Tom Hopper,  David Castañeda,  Emmy Raver-Lampman	175513.0	60.0
109	Supergirl	(2015–2021)	Action, Adventure, Drama	6.2	Stars: Melissa Benoist,  Chyler Leigh,  David Harewood,  Mehcad Brooks	115373.0	43.0
110	BoJack Horseman	(2014–2020)	Animation, Comedy, Drama	8.7	Stars: Will Arnett,  Amy Sedaris,  Alison Brie,  Aaron Paul	124318.0	25.0
111	The Lord of the Rings: The Fellowship of the Ring	(2001)	Action, Adventure, Drama	8.8	Director: Peter Jackson |      Stars: Elijah Wood,  Ian McKellen,  Orlando Bloom,  Sean Bean	1713028.0	178.0
112	I Think You Should Leave with Tim Robinson	(2019– )	Comedy	7.8	Stars: Tim Robinson,  Sam Richardson,  Patti Harrison,  Conner O'Malley	8095.0	16.0
113	South Park	(1997– )	Animation, Comedy	8.7	Stars: Trey Parker,  Matt Stone,  Isaac Hayes,  Mona Marshall	340148.0	22.0
114	Once Upon a Time	(2011–2018)	Adventure, Fantasy, Romance	7.7	Stars: Ginnifer Goodwin,  Jennifer Morrison,  Lana Parrilla,  Robert Carlyle	212616.0	60.0
115	Star Trek: Discovery	(2017– )	Action, Adventure, Drama	7.2	Stars: Sonequa Martin-Green,  Doug Jones,  Anthony Rapp,  Mary Wiseman	101079.0	60.0
116	Teen Wolf	(2011–2017)	Action, Drama, Fantasy	7.6	Stars: Tyler Posey,  Holland Roden,  Dylan O'Brien,  Linden Ashby	132950.0	41.0
117	How to Get Away with Murder	(2014–2020)	Crime, Drama, Mystery	8.1	Stars: Viola Davis,  Billy Brown,  Jack Falahee,  Aja Naomi King	136135.0	43.0
118	Star Trek: Deep Space Nine	(1993–1999)	Action, Adventure, Drama	8.0	Stars: Avery Brooks,  Rene Auberjonois,  Cirroc Lofton,  Alexander Siddig	55687.0	45.0
119	Seinfeld	(1989–1998)	Comedy	8.8	Stars: Jerry Seinfeld,  Julia Louis-Dreyfus,  Michael Richards,  Jason Alexander	264801.0	22.0
120	Spartacus: Blood and Sand	(2010–2013)	Action, Adventure, Biography	8.5	Stars: Andy Whitfield,  Lucy Lawless,  Manu Bennett,  Daniel Feuerriegel	228484.0	55.0
121	Hawaii Five-0	(2010–2020)	Action, Crime, Drama	7.3	Stars: Alex O'Loughlin,  Scott Caan,  Taylor Wily,  Daniel Dae Kim	68627.0	42.0
122	Good Witch	(2015–2021)	Comedy, Drama, Fantasy	7.3	Stars: Catherine Bell,  Catherine Disher,  James Denton,  Kylee Evans	8268.0	48.0
123	The Sinner	(2017– )	Crime, Drama, Mystery	7.9	Stars: Bill Pullman,  Dohn Norwood,  Adam LeFevre,  Jessica Biel	96901.0	45.0
124	Arrested Development	(2003–2019)	Comedy	8.7	Stars: Jason Bateman,  Michael Cera,  Portia de Rossi,  Will Arnett	284373.0	22.0
125	Escape Room	(I) (2019)	Action, Adventure, Horror	6.4	Director: Adam Robitel |      Stars: Taylor Russell,  Logan Miller,  Jay Ellis,  Tyler Labine	99351.0	99.0
126	You	(2018– )	Crime, Drama, Romance	7.7	Stars: Penn Badgley,  Victoria Pedretti,  Ambyr Childers,  Elizabeth Lail	157666.0	45.0
127	Mindhunter	(2017–2019)	Crime, Drama, Thriller	8.6	Stars: Jonathan Groff,  Holt McCallany,  Anna Torv,  Hannah Gross	235694.0	60.0
128	Jaws	(1975)	Adventure, Thriller	8.0	Director: Steven Spielberg |      Stars: Roy Scheider,  Robert Shaw,  Richard Dreyfuss,  Lorraine Gary	558731.0	124.0
130	The Punisher	(2017–2019)	Action, Crime, Drama	8.5	Stars: Jon Bernthal,  Amber Rose Revah,  Ben Barnes,  Jason R. Moore	194777.0	53.0
131	Star Trek: Voyager	(1995–2001)	Action, Adventure, Sci-Fi	7.8	Stars: Kate Mulgrew,  Robert Beltran,  Roxann Dawson,  Robert Duncan McNeill	61917.0	44.0
132	The Departed	(2006)	Crime, Drama, Thriller	8.5	Director: Martin Scorsese |      Stars: Leonardo DiCaprio,  Matt Damon,  Jack Nicholson,  Mark Wahlberg	1227522.0	151.0
133	Narcos	(2015–2017)	Biography, Crime, Drama	8.8	Stars: Pedro Pascal,  Lizbeth Eden,  Wagner Moura,  Boyd Holbrook	375261.0	49.0
134	The Serpent	(2021)	Crime, Drama, Thriller	7.6	Stars: Tahar Rahim,  Billy Howle,  Jenna Coleman,  Ellie Bamber	33936.0	58.0
135	Star Wars: The Clone Wars	(2008–2020)	Animation, Action, Adventure	8.3	Stars: Tom Kane,  Dee Bradley Baker,  Matt Lanter,  James Arnold Taylor	71904.0	23.0
136	Murder, She Wrote	(1984–1996)	Crime, Drama, Mystery	7.0	Stars: Angela Lansbury,  William Windom,  Ron Masak,  Louis Herthum	20330.0	50.0
137	Fatherhood	(2021)	Comedy, Drama	6.7	Director: Paul Weitz |      Stars: Kevin Hart,  Alfre Woodard,  Lil Rel Howery,  DeWanda Wise	26508.0	109.0
138	Blue Bloods	(2010– )	Crime, Drama, Mystery	7.6	Stars: Donnie Wahlberg,  Bridget Moynahan,  Will Estes,  Len Cariou	34064.0	43.0
140	The Woman in the Window	(2021)	Crime, Drama, Mystery	5.7	Director: Joe Wright |      Stars: Amy Adams,  Gary Oldman,  Anthony Mackie,  Fred Hechinger	57048.0	100.0
141	Black Summer	(2019– )	Action, Drama, Horror	6.5	Stars: Jaime King,  Justin Chu Cary,  Christine Lee,  Zoe Marlett	25453.0	40.0
142	Katla	(2021– )	Drama, Mystery, Sci-Fi	7.1	Stars: Guðrún Ýr Eyfjörð,  Íris Tanja Flygenring,  Ingvar Sigurdsson,  Aliette Opheim	8391.0	79.83280507131538
143	Gone Girl	(2014)	Drama, Mystery, Thriller	8.1	Director: David Fincher |      Stars: Ben Affleck,  Rosamund Pike,  Neil Patrick Harris,  Tyler Perry	895888.0	149.0
144	Jumanji: Welcome to the Jungle	(2017)	Action, Adventure, Comedy	6.9	Director: Jake Kasdan |      Stars: Dwayne Johnson,  Karen Gillan,  Kevin Hart,  Jack Black	337900.0	119.0
145	American Psycho	(2000)	Comedy, Crime, Drama	7.6	Director: Mary Harron |      Stars: Christian Bale,  Justin Theroux,  Josh Lucas,  Bill Sage	517014.0	101.0
146	House of Cards	(2013–2018)	Drama	8.7	Stars: Kevin Spacey,  Michel Gill,  Robin Wright,  Kate Mara	476656.0	51.0
147	Miraculous: Tales of Ladybug & Cat Noir	(2015– )	Animation, Action, Adventure	7.7	Stars: Cristina Valenzuela,  Bryce Papenbrook,  Keith Silverstein,  Mela Lee	8300.0	20.0
148	Mayor Grom: Chumnoy Doktor	(2021)	Action, Adventure	6.3	Director: Oleg Trofim |      Stars: Tikhon Zhiznevskiy,  Lyubov Aksyonova,  Sergei Goroshko,  Aleksey Maklakov	8466.0	136.0
149	Demon Slayer: Kimetsu No Yaiba	(2019– )	Animation, Action, Fantasy	8.7	Stars: Natsuki Hanae,  Zach Aguilar,  Abby Trott,  Akari Kitô	46259.0	25.0
150	Jane the Virgin	(2014–2019)	Comedy	7.8	Stars: Gina Rodriguez,  Andrea Navedo,  Yael Grobglas,  Justin Baldoni	41758.0	60.0
151	The Good Wife	(2009–2016)	Crime, Drama, Mystery	8.3	Stars: Julianna Margulies,  Chris Noth,  Josh Charles,  Matt Czuchry	70021.0	43.0
152	The Good Place	(2016–2020)	Comedy, Drama, Fantasy	8.2	Stars: Kristen Bell,  William Jackson Harper,  Jameela Jamil,  D'Arcy Carden	127417.0	22.0
153	The Americans	(2013–2018)	Crime, Drama, Mystery	8.4	Stars: Keri Russell,  Matthew Rhys,  Keidrich Sellati,  Holly Taylor	88962.0	44.0
154	Glee	(2009–2015)	Comedy, Drama, Music	6.7	Stars: Lea Michele,  Jane Lynch,  Matthew Morrison,  Cory Monteith	139934.0	44.0
155	Bo Burnham: Inside	(2021 TV Special)	Comedy, Drama, Music	8.7	Director: Bo Burnham |      Stars: Bo Burnham,  Socko	31108.0	87.0
156	Kill Bill: Vol. 1	(2003)	Action, Crime, Drama	8.1	Director: Quentin Tarantino |      Stars: Uma Thurman,  David Carradine,  Daryl Hannah,  Michael Madsen	1034554.0	111.0
157	Bartkowiak	(2021)	Action, Crime, Sport	5.0	Director: Daniel Markowicz |      Stars: Józef Pawlowski,  Zofia Domalik,  Szymon Bobrowski,  Bartlomiej Topa	398.0	91.0
158	Castlevania	(2017–2021)	Animation, Action, Adventure	8.3	Stars: Richard Armitage,  James Callis,  Alejandra Reynoso,  Theo James	51802.0	23.0
159	300	(2006)	Action, Drama	7.6	Director: Zack Snyder |      Stars: Gerard Butler,  Lena Headey,  David Wenham,  Dominic West	751815.0	117.0
160	Dawson's Creek	(1998–2003)	Drama, Romance	6.6	Stars: James Van Der Beek,  Katie Holmes,  Michelle Williams,  Joshua Jackson	38117.0	60.0
161	It	(I) (2017)	Horror	7.3	Director: Andy Muschietti |      Stars: Bill Skarsgård,  Jaeden Martell,  Finn Wolfhard,  Sophia Lillis	480607.0	135.0
162	Pretty Little Liars	(2010–2017)	Drama, Mystery, Romance	7.4	Stars: Troian Bellisario,  Ashley Benson,  Lucy Hale,  Shay Mitchell	155875.0	44.0
